dataset,df_size,ts_length,n_classes,class,class_perc,model,mean,std,model_acc
ECG200,160,96,2,-1,0.338,lstm,0.4055172413793104,0.1600557275127366,0.875
ECG200,160,96,2,-1,0.338,catch22,0.2542307692307692,0.18025992081784134,0.825
ECG200,160,96,2,-1,0.338,rocket,0.4402941176470588,0.14001019488337368,0.95
ECG200,160,96,2,1,0.662,lstm,0.6144827586206897,0.1600557275127366,0.875
ECG200,160,96,2,1,0.662,catch22,0.6900000000000001,0.20701170535466384,0.825
ECG200,160,96,2,1,0.662,rocket,0.5797058823529411,0.14001019488337368,0.95
NerveDamage,163,1500,3,0,0.166,lstm,0.0,0.0,0.4146341463414634
NerveDamage,163,1500,3,0,0.166,catch22,0.7957142857142857,0.15962967347288917,1.0
NerveDamage,163,1500,3,0,0.166,rocket,0.3304761904761905,0.11146112670541201,1.0
NerveDamage,163,1500,3,1,0.356,lstm,0.0,0.0,0.4146341463414634
NerveDamage,163,1500,3,1,0.356,catch22,0.2205128205128205,0.1391355862965905,1.0
NerveDamage,163,1500,3,1,0.356,rocket,0.6523076923076923,0.09866965185526226,1.0
NerveDamage,163,1500,3,2,0.479,lstm,0.0,0.0,0.4146341463414634
NerveDamage,163,1500,3,2,0.479,catch22,0.4759523809523809,0.09512046306831703,1.0
NerveDamage,163,1500,3,2,0.479,rocket,0.490952380952381,0.06074182382014663,1.0
ECGFiveDays,707,136,2,1,0.504,lstm,0.441992337164751,0.1346500689385767,1.0
ECGFiveDays,707,136,2,1,0.504,catch22,0.6442513368983958,0.12688725441287355,0.9887005649717514
ECGFiveDays,707,136,2,1,0.504,rocket,0.5308301404853129,0.06123213799741973,1.0
ECGFiveDays,707,136,2,2,0.496,lstm,0.5780076628352491,0.1346500689385767,1.0
ECGFiveDays,707,136,2,2,0.496,catch22,0.3456149732620321,0.10425837603599236,0.9887005649717514
ECGFiveDays,707,136,2,2,0.496,rocket,0.48916985951468706,0.061232137997419736,1.0
MedicalImages,912,99,10,1,0.098,lstm,0.5289506172839507,0.2199876764918002,0.6855895196506551
MedicalImages,912,99,10,1,0.098,catch22,0.43433333333333335,0.2558262213995187,0.7729257641921398
MedicalImages,912,99,10,1,0.098,rocket,0.44305084745762713,0.24122044378385887,0.8078602620087336
MedicalImages,912,99,10,10,0.508,lstm,0.4767865707434053,0.211108153063019,0.6855895196506551
MedicalImages,912,99,10,10,0.508,catch22,0.3832797427652733,0.22523552990254547,0.7729257641921398
MedicalImages,912,99,10,10,0.508,rocket,0.45630503144654083,0.24104729834117128,0.8078602620087336
MedicalImages,912,99,10,2,0.054,lstm,0.4470491803278689,0.24333976962867104,0.6855895196506551
MedicalImages,912,99,10,2,0.054,catch22,0.5089622641509435,0.2667517015393133,0.7729257641921398
MedicalImages,912,99,10,2,0.054,rocket,0.4374509803921569,0.20633917572825405,0.8078602620087336
MedicalImages,912,99,10,3,0.068,lstm,0.4710377358490566,0.23219595353958397,0.6855895196506551
MedicalImages,912,99,10,3,0.068,catch22,0.4867441860465117,0.17270381865444046,0.7729257641921398
MedicalImages,912,99,10,3,0.068,rocket,0.5580487804878048,0.20820334235262764,0.8078602620087336
MedicalImages,912,99,10,4,0.049,lstm,0.0,0.0,0.6855895196506551
MedicalImages,912,99,10,4,0.049,catch22,0.32571428571428573,0.20840828583682122,0.7729257641921398
MedicalImages,912,99,10,4,0.049,rocket,0.4960526315789474,0.19129117339644972,0.8078602620087336
MedicalImages,912,99,10,5,0.038,lstm,0.4134939759036145,0.22092049343947606,0.6855895196506551
MedicalImages,912,99,10,5,0.038,catch22,0.3261904761904762,0.21510004000670094,0.7729257641921398
MedicalImages,912,99,10,5,0.038,rocket,0.43265486725663715,0.20653919338835755,0.8078602620087336
MedicalImages,912,99,10,6,0.021,lstm,0.5537179487179487,0.17055045854119757,0.6855895196506551
MedicalImages,912,99,10,6,0.021,catch22,0.561111111111111,0.17858151646990614,0.7729257641921398
MedicalImages,912,99,10,6,0.021,rocket,0.5590588235294118,0.1449837599782798,0.8078602620087336
MedicalImages,912,99,10,7,0.044,lstm,0.4648958333333333,0.24454462268191238,0.6855895196506551
MedicalImages,912,99,10,7,0.044,catch22,0.369125,0.2505703182242462,0.7729257641921398
MedicalImages,912,99,10,7,0.044,rocket,0.38991596638655457,0.20460043371451325,0.8078602620087336
MedicalImages,912,99,10,8,0.021,lstm,0.0,0.0,0.6855895196506551
MedicalImages,912,99,10,8,0.021,catch22,0.3286486486486487,0.21623513430750485,0.7729257641921398
MedicalImages,912,99,10,8,0.021,rocket,0.441578947368421,0.2796789479791992,0.8078602620087336
MedicalImages,912,99,10,9,0.1,lstm,0.0,0.0,0.6855895196506551
MedicalImages,912,99,10,9,0.1,catch22,0.44533333333333336,0.2160437198552388,0.7729257641921398
MedicalImages,912,99,10,9,0.1,rocket,0.5995833333333334,0.24472454753593206,0.8078602620087336
TwoLeadECG,929,82,2,1,0.502,lstm,0.4139954853273138,0.16055041699720807,0.9914163090128756
TwoLeadECG,929,82,2,1,0.502,catch22,0.28717235901509136,0.17805348902731566,0.9828326180257511
TwoLeadECG,929,82,2,1,0.502,rocket,0.5304642593957258,0.12856904047988943,1.0
TwoLeadECG,929,82,2,2,0.498,lstm,0.6060045146726863,0.16055041699720807,0.9914163090128756
TwoLeadECG,929,82,2,2,0.498,catch22,0.6716600476568705,0.21526242458442293,0.9828326180257511
TwoLeadECG,929,82,2,2,0.498,rocket,0.45153279292557114,0.11922190561601478,1.0
CinCECGTorso,1136,1639,4,1,0.246,lstm,0.5659456040480708,0.11673264057257618,0.9964788732394366
CinCECGTorso,1136,1639,4,1,0.246,catch22,0.49891178364455896,0.14248430718566366,0.9859154929577465
CinCECGTorso,1136,1639,4,1,0.246,rocket,0.5360404807084124,0.10177617232512162,1.0
CinCECGTorso,1136,1639,4,2,0.251,lstm,0.5102069425901201,0.10935371451564506,0.9964788732394366
CinCECGTorso,1136,1639,4,2,0.251,catch22,0.441808803301238,0.1351949604701749,0.9859154929577465
CinCECGTorso,1136,1639,4,2,0.251,rocket,0.48862483311081445,0.08851680671431868,1.0
CinCECGTorso,1136,1639,4,3,0.259,lstm,0.523625,0.11544233584093733,0.9964788732394366
CinCECGTorso,1136,1639,4,3,0.259,catch22,0.4479166666666667,0.14680619377855292,0.9859154929577465
CinCECGTorso,1136,1639,4,3,0.259,rocket,0.4887352941176471,0.10034654917233501,1.0
CinCECGTorso,1136,1639,4,4,0.245,lstm,0.41904015056461735,0.1008397346749402,0.9964788732394366
CinCECGTorso,1136,1639,4,4,0.245,catch22,0.4561182519280206,0.14474903874290723,0.9859154929577465
CinCECGTorso,1136,1639,4,4,0.245,rocket,0.43085947302383937,0.08324550063748058,1.0